"idformula","idherbsmed","ref"
"F00066","K00013","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）"
"F00067","K00013","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）"
"F00068","K00013","漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療三十年：大塚敬節著，昭和34.6.1（創元社）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）"
"F00069","K00013","明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00070","K00013","臨床医の漢方：木下繁太朗・鎌江眞吾共著，昭和44（医歯薬出版）"
"F00071","K00013","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00072","K00013","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00073","K00014","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00074","K00015","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00075","K00016","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00076","K00017","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00077","K00018","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）"
"F00078","K00018","続漢方あれこれ：大阪読売新聞社編（浪速社）"
"F00079","K00018","臨床30年漢方百話：昭和35.12.10，矢数道明著（医道の日本社）"
"F00080","K00018","外台秘要方：王編著，1955年影印本，1746年日本刊本（人民衛生出版社）"
"F00081","K00018","現代漢方入門：毎日新聞社編，昭和46.12.5（毎日新聞社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）"
"F00082","K00018","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00083","K00018","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）"
"F00084","K00018","明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00085","K00018","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00086","K00018","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00087","K00018","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00088","K00019","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00090","K00020","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）"
"F00091","K00020","漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）"
"F00092","K00020","漢方治療百科：荒木正胤著，昭和39（岩崎書店）"
"F00093","K00020","明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00094","K00020","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00095","K00020","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00096","K00020","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00097","K00020","続漢方の本：UNKNOWN"
"F00089","K00020","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）"
"F00098","K00021","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00099","K00022","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00100","K00023","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）"
"F00101","K00023","漢方掌典：清水藤太郎著，昭和16（薬業往来社）"
"F00102","K00023","現代漢方入門：毎日新聞社編，昭和46.12.5（毎日新聞社）；症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）；臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）；経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00103","K00023","古方薬嚢：荒木性次著，昭和29（漢方精究初竜会）"
"F00104","K00023","実用漢方療法−現代医学の盲点をつく：藤平健著，昭和47.5.1，初版（保健同人社）"
"F00105","K00023","明趙開美刊本　影印傷寒論：石原明解題"
"F00106","K00023","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00107","K00023","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00108","K00023","臨床と応用：UNKNOWN"
"F00109","K00024","漢方医学：大塚敬節著，昭和43.8.20/新版漢方医学：大塚敬節著，昭和48.2.16（創元社）；症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）；一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00110","K00025","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00117","K00026","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00111","K00026","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）；改訂新版漢方処方集：龍野一雄編著，昭和49.6.25，改訂（中国漢方医学書刊行会）；漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00112","K00026","漢方入門講座1，増補改訂漢方入門講座上・下巻：漢方入門講座1：龍野一雄著，昭和27.12.1（東京漢方杏林会編輯部），増補改訂漢方入門講座上・下巻：龍野一雄著 ，昭和49.3.20（中国漢方医学書刊行会）"
"F00113","K00026","傷寒論入門：森田幸門著，昭和33（治療研究所）"
"F00114","K00026","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）"
"F00115","K00026","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）；経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）；明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00116","K00026","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00118","K00027","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）"
"F00119","K00027","漢方医学：大塚敬節著，昭和43.8.20/新版漢方医学：大塚敬節著，昭和48.2.16（創元社）；漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00120","K00027","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）；漢方処方集：龍野一雄著，昭和32.8.1（漢方書林）"
"F00121","K00027","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）；経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）；漢方と民間薬百科：大塚敬節著（主婦の友社）；明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00122","K00027","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00123","K00028","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）"
"F00124","K00028","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）"
"F00125","K00028","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）；経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）；漢方と民間薬百科：大塚敬節著（主婦の友社）"
"F00126","K00028","漢方処方集：龍野一雄著，昭和32.8.1（漢方書林）；明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00127","K00028","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00128","K00028","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00129","K00028","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00130","K00029","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）"
"F00131","K00029","改訂新版漢方処方集：龍野一雄編著，昭和49.6.25，改訂（中国漢方医学書刊行会）"
"F00132","K00029","漢方医学の基礎と診療：西山英雄著，昭和44.3.15（創元社）"
"F00133","K00029","漢方後世要方解説：矢数道明著，昭和37.5.30（医道の日本社）"
"F00134","K00029","実用漢方療法−現代医学の盲点をつく：藤平健著，昭和47.5.1，初版（保健同人社）"
"F00135","K00029","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）"
"F00136","K00029","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00137","K00029","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）"
"F00138","K00029","100万人の漢方・診断と治療の実際：寺師睦濟著，昭和48.1（豊文社）"
"F00139","K00029","明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00140","K00029","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00141","K00029","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00142","K00029","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00143","K00030","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00144","K00031","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00145","K00032","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）"
"F00146","K00032","漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）"
"F00147","K00032","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00148","K00032","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00149","K00033","漢方後世要方解説：矢数道明著，昭和37.5.30（医道の日本社）"
"F00150","K00033","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00151","K00033","漢方処方集：龍野一雄著，昭和32.8.1（漢方書林）"
"F00152","K00033","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）"
"F00153","K00033","漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）"
"F00154","K00033","漢方と民間薬百科：大塚敬節著（主婦の友社）"
"F00155","K00033","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）"
"F00156","K00033","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00157","K00033","天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00158","K00033","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00159","K00034","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）"
"F00160","K00034","続漢方あれこれ：大阪読売新聞社編（浪速社）；症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）；臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）"
"F00161","K00034","明趙開美刊本　影印傷寒論：石原明解題"
"F00162","K00034","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00163","K00034","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00164","K00035","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00165","K00036","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）；臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）"
"F00166","K00036","校正方輿輗：有持桂里著，1853年刊本"
"F00167","K00036","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00168","K00036","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00171","K00037","漢方入門講座1，増補改訂漢方入門講座上・下巻：漢方入門講座1：龍野一雄著，昭和27.12.1（東京漢方杏林会編輯部），増補改訂漢方入門講座上・下巻：龍野一雄著 ，昭和49.3.20（中国漢方医学書刊行会）"
"F00172","K00037","実用漢方療法−現代医学の盲点をつく：藤平健著，昭和47.5.1，初版（保健同人社）"
