"_id","idherbsmed","name","nameloc1","nameloc2","efficacy","efficacyloc","ref","idclass","idcompany","idtype","img"
"20","J00020","Jamu Pegal Linu","","","Eliminate fatigue, aching rheumatic pain, pain in muscles and bones throughout the body after work, exercise or to travel long distances, healthful and refreshing body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c1","2",""
"21","J00021","Jamu Pembersih Darah","","","Preventing and treating skin diseases such as itching, boils and prickly heat","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","16","c1","2",""
"22","J00022","Jamu Pentugin","","","Destroy kidney stones and facilitate urination","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","17","c1","2",""
"23","J00023","Jamu Pilek","","","Treat a cold with symptoms of difficult breathing, nasal congestion, runny nose accompanied by sneezing out / cough continuously and headache","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c1","2",""
"24","J00024","Jamu Prolinu","","","To cure soreness in muscles backache & weariness","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c1","2",""
"25","J00025","Jamu Prourat","","","Relieve pain and aching pains in the joints and arthritis due to excess uric acid in the blood.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","1","c1","2",""
"26","J00026","Jamu Putri Ayu","","","Maintaining the health of women in order to keep the body fresh and ayu. Replace cells that die, kekeriputan and slow the aging process","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","16","c1","2",""
"27","J00027","Jamu Rastung","","","Preventing and treating ulcers with pain symptoms in the lips, gums, tongue and mouth pain because there is flaking, swelling, blisters and heat in","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c1","2",""
"28","J00028","Jamu Resik Nifas","","","Useful to the mother after giving birth to clean the remnants of dirty blood in the uterus and bowel treatment. Can also be drunk after menstruation / menstrual completed","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c1","2",""
"29","J00029","Jamu Sakit Pinggang","","","Preventing and treating back pain, such as stiff, sore and painful. Smooth urination","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","17","c1","2",""
"30","J00030","Jamu Sanggageni","","","Lowers high blood pressure symptoms, such as anxiety, pain / headaches and insomnia. This herbal medicine makes sleep more calmly and soundly","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","8","c1","2",""
"31","J00031","Jamu Sari Asih","","","Pressed and the muscles femininity, to prevent discharge and excess mucus. Shrink the stomach, tighten your body. Also useful for women after 35 days delivery","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c1","2",""
"32","J00032","Jamu Sariawan Usus","","","Relieve abdominal pain, heartburn, bloating, feeling sebah for unhealthy food, defecate and rectal mucus is hot, also to strengthen the intestinal lining, and digestion.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c1","2","Jamu's wrap"
"33","J00033","Jamu Sariawan/Panas Dalam","","","Cure ulcers with signs of: gums, tongue, lips and throat hurt and pain caused by heartburn.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c1","2","Jamu's wrap"
"34","J00034","Jamu Sawan","","","Treat and prevent diseases caused by seizures in infants and small children such as boils, itch, flatulence. For babies who are breast-feeding, Herbal Sawan mother was drunk.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c1","2","Jamu's wrap"
"35","J00035","Jamu Sehat Lelaki","","","To maintain health and protect the body from disease for men who are always keen to work.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c1","2",""
"36","J00036","Jamu Sehat Perempuan","","","Increase endurance to stay healthy, fresh and youthful.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c1","2","Jamu's wrap"
"37","J00037","Jamu Sekalor","","","Helps relieve headaches, dizzy, dizzy eyes, and blood flow throughout the body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","13","c1","2",""
"38","J00038","Jamu Selesma","","","Treat fever with cold symptoms such as body felt hot and cold / fever, cough, runny nose, fever, pains in the joints, nausea, pengar nose, dry throat","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c1","2",""
"39","J00039","Jamu Sesak Napas","","","Treat shortness of breath","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c1","2",""
"40","J00040","Jamu Tambah Darah","","","Preventing and treating anemia with symptoms: glazed eyes, tingling, weakness, lethargy","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","1","c1","2",""
"41","J00041","Jamu Terlambat Bulan","","","To bring about menstruation (menstrual / coming months) that late","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c1","2",""
"42","J00042","Jamu Tujuh Angin","","","Treating cold","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c1","2","Jamu's wrap"
"43","J00043","Jamu Wasir","","","Cure and alleviate Hemorrhoids (piles) and varicose veins","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","1","c1","2",""
"44","J00044","Sehat Lelaki (Pohon Pinang)","","","To maintain health and protect the body from disease for men who are always keen to work.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c2","2",""
"45","J00045","Anmak","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c3","2",""
"46","J00046","LING SHEN YAO","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c4","2",""
"47","J00047","Liquid Spirulina (Strawberry Flavour)","","","Antioxidants","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c5","2",""
"48","J00048","Nan Shi Zhuang","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c5","2",""
"49","J00049","Tabarok","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c6","2",""
"50","J00050","Sea Quill Natural Cough Syrup","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c7","2",""
"51","J00051","Femi Herbs","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c8","2",""
"52","J00052","Femivit","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c8","2",""
"53","J00053","Afiroven","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c9","2",""
"54","J00054","Achant Herb","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c10","2",""
"55","J00055","Chalconex","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c10","2",""
"56","J00056","Curxan","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c10","2",""
"57","J00057","Imuno Hepar","","","Maintaining healthy liver function","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c10","2",""
"58","J00058","Nulang","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c10","2",""
"59","J00059","Pilbasma","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c10","2",""
"60","J00060","Tehita","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c10","2",""
"61","J00061","Amilact","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c11","2",""
"62","J00062","Imuforce","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c11","2",""
"63","J00063","Vitos","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c11","2",""
"64","J00064","Habbatussauda Almadina","","","Improve metabolism","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c12","2",""
"65","J00065","Akar Pinang Muda","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c13","2",""
"66","J00066","Afiafit","","","Improve metabolism","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c14","2",""
"67","J00067","Jamu Formula 23 (Wasir)","","","Cure and alleviate Hemorrhoids (piles) and varicose veins","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","1","c15","2",""
"68","J00068","Jamu Formula 27 (Sehat Pria)","","","To maintain health and protect the body from disease for men who are always keen to work.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c15","2",""
"69","J00069","Jamu Formula 53 (Tidarti)","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c15","2",""
"70","J00070","Jamu Formula 55 (Sehat Ginjal)","","","For healthy kidneys.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","17","c15","2",""
"71","J00071","Jamu Formula 57 (Kemas)","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c15","2",""
"72","J00072","Jamu Formula 73 (Sehat Payudara)","","","For fuller and firmer breast, and also for nursing mother","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c15","2",""
"73","J00073","Jamu Formula 75 (Ratih)","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c15","2",""
"74","J00074","Jamu Formula 77 (Kesper)","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c15","2",""
"75","J00075","Amorkan","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c16","2",""
"76","J00076","Annoni Plus","","","Treat high blood pressure, diabetes","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c16","2",""
"77","J00077","Nemokap","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c16","2",""
"78","J00078","Minyak Kayu Putih Ananda","","","Nasal congestion, colds, stomach pain, nausea, vomiting, insect bites, itch","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c17","2",""
"79","J00079","Minyak Telon Ananda","","","Eliminate the symptoms of colic and bloating for baby","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c17","2",""
"80","J00080","Annisa","","","For diabetes","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c18","2",""
"81","J00081","Man Tonic","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c18","2",""
"82","J00082","Kapsul Mengkudu (Rooso)","","","Treat high blood pressure, diabetes","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c19","2",""
"83","J00083","Arenis","","","For diabetes","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c20","2",""
"84","J00084","Bimaxi","","","For men's stamina","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c20","2",""
"85","J00085","Redasam","","","Treatment of uric acid","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","1","c20","2",""
"86","J00086","Densuko Jahe","","","Treating cold","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c21","2",""
"87","J00087","Densuko Sehat Segar","","","Useful for maintaining health and add strength to the weak body, less blood and loss of appetite.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","1","c21","2",""
"88","J00088","Densuko Temulawak","","","Maintains liver health and helps to improves appetite.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c21","2",""
"89","J00089","Habbatussaudana","","","Improve metabolism","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c22","2",""
"90","J00090","Zait Saudana","","","Improve metabolism","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c22","2",""
"91","J00091","Zait zaitun Al Karomah","","","Improve metabolism","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c22","2",""
"92","J00092","Minyak Kayu Putih (CP-SBY)","","","Nasal congestion, colds, stomach pain, nausea, vomiting, insect bites, itch","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c23","2",""
"93","J00093","Minyak Telon (CP-SBY)","","","Eliminate the symptoms of colic and bloating for baby","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c23","2",""
"94","J00094","Minyak Telon Plus (CP-SBY)","","","Eliminate the symptoms of colic and bloating for baby","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c23","2",""
"95","J00095","Gasare","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c24","2",""
"96","J00096","Ulu Hati Bui Shu Hon","","","Treating pain in uluhati (stomach ulcer) with the symptoms: after eating uluhati felt pain, nausea, and sometimes sour dimulut, uluhati as depressed.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c25","2",""
"97","J00097","Ulu Hati Bui Shu Phin","","","Treating pain in uluhati (stomach ulcer) with the symptoms: after eating uluhati felt pain, nausea, and sometimes sour dimulut, uluhati as depressed.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c25","2",""
"98","J00098","Gendis Jaya","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c26","2",""
"99","J00099","Minyak Kayu Putih Daun Alam","","","Nasal congestion, colds, stomach pain, nausea, vomiting, insect bites, itch","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c26","2",""
"100","J00100","Waselin","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c26","2",""
"101","J00101","ASI`E","","","Helps on smoothing mother's milk. Help on maintaining healthy of breast feeding mother.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c27","2",""
"102","J00102","Kleno","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c28","2",""
"103","J00103","Minyak Kayu Putih Aicelips","","","Nasal congestion, colds, stomach pain, nausea, vomiting, insect bites, itch","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c29","2",""
"104","J00104","De-Ekso","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c30","2",""
"105","J00105","Kejora","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c31","2",""
"106","J00106","Moon Flower","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c32","2",""
"107","J00107","Nitacur","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c32","2",""
"108","J00108","Sehat Gin","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c32","2",""
"109","J00109","Tolak Diar","","","Relieve diarrhea","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c32","2",""
"110","J00110","Diatop","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c33","2",""
"111","J00111","Minyak Gosok Bangau","","","Relieve colds, flatulence","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c34","2",""
"112","J00112","An-Najwa Habbatusauda","","","Improve metabolism","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c35","2",""
"113","J00113","Minyak Kayu Putih Cap Gajah Mas","","","Nasal congestion, colds, stomach pain, nausea, vomiting, insect bites, itch","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c36","2",""
"114","J00114","Alila","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c37","2",""
"115","J00115","Bio Noni","","","Treat high blood pressure, diabetes","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c37","2",""
"116","J00116","Pronto Tuber","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c37","2",""
"117","J00117","Sozo Formula Manggata 1","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c38","2",""
"118","J00118","Sozo Formula Manggata 3","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c38","2",""
"119","J00119","Zatiron","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c39","2",""
"120","J00120","Graptolin","","","Hemorrhoid pain relief","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","1","c40","2",""
"121","J00121","Mazela","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c40","2",""
"122","J00122","Bioglukol","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c41","2",""
"123","J00123","Notens","","","Treat high blood pressure","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","8","c41","2",""
"124","J00124","Prosin","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c41","2",""
"125","J00125","Puratik","","","Relieve pain and aching pains in the joints and arthritis due to excess uric acid in the blood.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","1","c41","2",""
"126","J00126","Ya-Slim","","","Reduce excess fat in the body, so that the body becomes lean, singset and youthful look.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c41","2",""
"127","J00127","Antanice","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c42","2",""
"128","J00128","Bioalmatin","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c42","2",""
"129","J00129","Biolumbrica","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c42","2",""
"130","J00130","Syafigra","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c43","2",""
"131","J00131","Curzema","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c43","2",""
"132","J00132","Herbathus","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c43","2",""
"133","J00133","Suramadu","","","Improve metabolism","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c44","2",""
"134","J00134","Sintaoshack","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c45","2",""
"135","J00135","Sintaoshack Pegal Linu","","","Eliminate fatigue, aching rheumatic pain, pain in muscles and bones throughout the body after work, exercise or to travel long distances, healthful and refreshing body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c45","2",""
"136","J00136","Curzerif","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c46","2",""
"137","J00137","Indovicco","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c47","2",""
"138","J00138","Gondopuro Cap Eyang","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c48","2",""
"139","J00139","Minyak Angin Eyang","","","Treating cold","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c48","2",""
"140","J00140","Minyak Cengkeh MIMO","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c48","2",""
"141","J00141","Minyak Gosok Cap Eyang","","","Relieve colds, flatulence","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c48","2",""
"142","J00142","Minyak Kayu Putih Cap Eyang","","","Nasal congestion, colds, stomach pain, nausea, vomiting, insect bites, itch","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c48","2",""
"143","J00143","Minyak Permint Cap Eyang","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c48","2",""
"144","J00144","Minyak Telon Cap Eyang","","","Eliminate the symptoms of colic and bloating for baby","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c48","2",""
"145","J00145","Feminecare","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c49","2",""
"146","J00146","Java Slim","","","Reduce excess fat in the body, so that the body becomes lean, singset and youthful look.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c49","2",""
"147","J00147","Javakolesto","","","Lowering cholesterol level in blood","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c49","2",""
"148","J00148","Javakolesto Tea","","","Lowering cholesterol level in blood","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c49","2",""
"149","J00149","Javaslim Pill","","","Reduce excess fat in the body, so that the body becomes lean, singset and youthful look.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c49","2",""
"150","J00150","Javaslim Tea","","","Reduce excess fat in the body, so that the body becomes lean, singset and youthful look.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c49","2",""
"151","J00151","Noni","","","Treat high blood pressure, diabetes","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c49","2",""
"152","J00152","Typhonium Plus","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c49","2",""
"153","J00153","Jamu Daun Sirih","","","Helps reduce excessive mucus and the smell of female organs.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c50","2",""
"154","J00154","Kuducap","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c51","2",""
"155","J00155","Pacekun","","","Treat high blood pressure, diabetes","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c51","2",""
"156","J00156","Lowfet","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c52","2",""
"157","J00157","Mengkudu T. Djoyo","","","Treat high blood pressure, diabetes","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c52","2",""
"158","J00158","Teh Singset","","","Reduce excess fat in the body, so that the body becomes lean, singset and youthful look.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c52","2",""
"159","J00159","Dewi Rat Cap Doo`a Dewi","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c53","2",""
"160","J00160","Ganda Puri","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c53","2",""
"161","J00161","Pegal Linu Kemuning","","","Eliminate fatigue, aching rheumatic pain, pain in muscles and bones throughout the body after work, exercise or to travel long distances, healthful and refreshing body.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c53","2",""
"162","J00162","Rengganis","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c53","2",""
"163","J00163","Rhecok","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c53","2",""
"164","J00164","Aspirat","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c54","2",""
"165","J00165","Jamu Danxing","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c54","2",""
"166","J00166","Ladycare","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c55","2",""
"167","J00167","Asiplus","","","Helps on smoothing mother's milk. Help on maintaining healthy of breast feeding mother.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c56","2",""
"168","J00168","Fitocur","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c56","2",""
"169","J00169","Kofigra","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c56","2",""
"170","J00170","Kolotrol","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c56","2",""
"171","J00171","Morincap","","","Treat high blood pressure, diabetes","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c56","2",""
"172","J00172","Silimar","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c56","2",""
"173","J00173","Silimar Plus","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c56","2",""
"174","J00174","Soncusal","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c56","2",""
"175","J00175","Stinacea","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c56","2",""
"176","J00176","Minyak Butuni","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c57","2",""
"177","J00177","Luqman Demluq","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c58","2",""
"178","J00178","Luqman Aviluq","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c58","2",""
"179","J00179","Minyak Telon Cap Akar Kembang","","","Eliminate the symptoms of colic and bloating for baby","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c59","2",""
"180","J00180","Gurah Plus","","","Remove phlegm, sinusitis, cough, bronchitis, asthma, tuberculosis.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c60","2",""
"181","J00181","Jamu Bio Q","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c60","2",""
"182","J00182","Jamu Biopostur","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c60","2",""
"183","J00183","Jamu Biosar","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c60","2",""
