"idcrude","sname","name_en","name_loc1","name_loc2","gname","position","effect","effect_loc","comment","ref"
"S00016","Adenophora stricta Radix","Sha Shen","Fourleaf Ladybell","","Adenophora stricta Miq.","Root","Heat in the lung with dry cough; cough with scanty sticky sputum in phthisis with deficiency of yin; deficiency of both qi and yin with feverishness and thirst.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00017","Aegle marmelos Folium","Bael, Bengal Quince","Mojo legi","","Aegle marmelos (L.) Corr.","Leaf","Leaf: scabies medicine. Roots and bark: intestinal pain medication. Pulp: dysentery drug.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00018","Aegle marmelos Radix","Bael, Bengal Quince","Mojo legi","","Aegle marmelos (L.) Corr.","Root","Leaf: scabies medicine. Roots and bark: intestinal pain medication. Pulp: dysentery drug.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00019","Aesculus hippocastanum Semen","Horse Chestnut","Horse Chestnut","","Aesculus hippocastanum","Seed"," ","","-","www.herbs2000.com"
"S00020","Agaricus blazei Herba","King Agaricus","Agaricus","","Agaricus blazei Murril","Herb","Stimulating immune system","","-","http://en.wikipedia.org/wiki/Agaricus_blazei"
"S00021","Agastache rugosa Folium","Korean Mint","Babandotan","","Agastache rugosa","Leaf","Leaf: menstrual pain medication, diuretic, inflammation of the uterus.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00022","Agastache rugosa Herba","Korean Mint","Babandotan","","Agastache rugosa","Herb","Leaf: menstrual pain medication, diuretic, inflammation of the uterus.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00023","Aglaia odorata Folium","-","Pacar cina","","Aglaia odorata Lour.","Leaf","Leaf: body odor remover, diarrhea, new injury.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00024","Agrimonia pilosa Herba","Agrimony","Agrimonia","","Agrimonia pilosa Ledeb.","Herb","Hemoptysis, bematemesis, abnormal uterine bleeding; malaria; dysentery with bloody stools; overstrain; boils and sores; pudental itching with excessive leukorrhea.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00025","Akebia trifoliata Herba","Akebia","Thunberg","","Akebia trifoliata","Herb","Epigastric and hypochondriac distension and pain; amenorrhea, dysmenorrhea; orrhea; oliguria; snake-and insect-bite.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00026","Albizzia falcataria Flos","-","Sengon laut","","Albizzia falcataria (L.) Fosberg","Flower","Leaf: old wounds drug.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00027","Alchemilla vulgaris Herba","Lady'S Mantle","Ladies mantle","","Alchemilla vulgaris","Herb","Problems of heavy menstrual bleeding, menstrual cramps, overcoming the symptoms of menopause, improvement in the regularity of the menstrual cycle, treatment of conditions like fibroids and endometriosis , as a douche to wash off excess vaginal discharge and bring rapid healing, liver decongestant, facilitate the birth of a child, treatment of diarrhea and gastroenteritis.","","-","www.herbs2000.com"
"S00028","Aleurites moluccana Folium","Candlenut","Kemiri","","Aleurites moluccana (L.) Willd.","Leaf","Seeds: cathartic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00029","Aleurites moluccana Oleum","Candlenut","Kemiri","","Aleurites moluccana (L.) Willd.","Oil","Seeds: cathartic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00030","Aleurites moluccana Semen","Candlenut","Kemiri","","Aleurites moluccana (L.) Willd.","Seed","Seeds: cathartic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00031","Alisma plantago-aquatica Herba","Alisma","Zexie","","Alisma plantago-aquatica","Herb","Leaves: cystitis, dysentery, renal calculus, gravel.  Fresh leaf: leprosy, bruises and swellings.  Dried stem: digestive disorders such as heartburn, cramps and stomach flu. Powdered seed: bleeding, promote sterility. Root: lower blood pressure, cholesterol and blood sugar levels, oliguria, oedema, nephritis, acute diarrhoea, cholesterolaemia and fatty liver. Whole plant: promote conception. Fresh root: homeopathic.","","-","http://www.pfaf.org/database/plants.php?Alisma+plantago-aquatica"
"S00032","Alismatis orientalis Rhizoma","Alisma","Zexie","","Alisma orientalis (Sam.) Juzep.","Rhizome","Edema with oliguria; diarrhea with diminished discharge of urine; vertigo due to retention of fluid; acute urinary infection with difficult painful urination; hyperlipemia.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00033","Allium ascalonicum Bulbus","Onion","Bawang Merah","","Allium ascalonicum","Bulb","Tuber layers: fever, spice.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00034","Allium cepae Bulbus","Onion","Bawang Merah","","Allium cepae","Bulb","Tuber layers: fever, spice.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00035","Allium fistulosum Herba","Welsh Onion","Bawang Daun","","Allium fistulosum","Herb","Leaf: flatulence medicine, caminative.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00036","Allium sativum Bulbus","Garlic","Bawang Putih","","Allium sativum","Bulb","Tuber layers: high blood pressure medicine, dizziness drugs, antibiotics.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00037","Allium sativum Oleum","Garlic","Bawang Putih","","Allium sativum","Oil","Tuber layers: high blood pressure medicine, dizziness drugs, antibiotics.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00038","Allium sativum Tubera","Garlic","Bawang Putih","","Allium sativum","Tuber","Tuber layers: high blood pressure medicine, dizziness drugs, antibiotics.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00039","Allium tuberosum Semen","Garlic Chives","Bawang Kucai","","Allium tuberosum Rottl. ex Spreng","Seed","Impotence, seminal emission, aching of the loins and knee; enuresis, frequent urination; morbid leukorrhea.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00040","Allium ursinum Bulbus","Ramson, Bear Garlic","Bear's Garlic","","Allium ursinum L","Bulb","Reducing high blood pressure and blood cholesterol levels. Bulb: diarrhoea, colic, wind, indigestion and loss of appetite. Whole herb: infusion against threadworms, asthma, bronchitis and emphysema. Juice: aid to weight loss, rheumatic and arthritic joints.","","-","http://www.pfaf.org/database/plants.php?Allium+ursinum"
"S00041","Alocasia cucculata Rhizoma","-","Nampu hijau","","Alocasia cucculata (Lour.) Schoot.","Rhizome","Leaves, tubers, all plant: resolvent, fever.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00042","Aloe vera Folium","Aloe","Lidah Buaya","","Aloe vera L.","Leaf","Leaf: cathartic, abdominal pain, eczema, hair fertilizer.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00043","Alpinia galanga Rhizoma","Greater Galangal","Laos","","Alpinia galanga SW.","Rhizome","Rhizome: phlegm medicine, emmenagoga.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00044","Alpinia katsumadai Semen","Dou Kou","Katsumada Galangal","","Alpinia katsumadai Hayata","Seed","Accumulation of damp-cold in the spleen and the stomach manifested by epigastric distension, pain and cold feeling accompanied with belching, nausea, vomiting and anorexia.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00045","Alpinia officinarum Rhizoma","Lesser Galangal","Lesser Galangal","","Alpinia officinarum Hance","Rhizome","Epigastric pain with cold sensation; vomiting, belching and acid regurgitation due to cold in the stomach.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00046","Alstonia macrophylla Cortex","Deng Tai Ye (Dita Bark)","Pule","","Alstonia macrophylla Wall. Ex G. Don.","Bark","Bark: drug fever, beri-beri.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00047","Alstonia scholaris Cortex","Deng Tai Ye (Dita Bark)","Pule","","Alstonia scholaris","Bark","Bark: drug fever, high blood pressure.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00048","Alstonia scholaris Folium","Deng Tai Ye (Dita Bark)","Pule","","Alstonia scholaris","Leaf","Bark: drug fever, high blood pressure.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00049","Alstonia spectabilis Cortex","Deng Tai Ye (Dita Bark)","Pule","","Alstonia spectabilis","Bark","Bark: drug fever, high blood pressure.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00050","Alternanthera sessilis Folium","Man Ti Xian","Kremah","","Alternanthera sessilis R. Br.","Leaf","Stems and leaves: bowel drug, dysentery, headache drugs.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00051","Alyxia reinwardtii Cortex","-","Pulasari","","Alyxia reinwardtii Bl.","Bark","Bark: drug fever.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00052","Alyxia reinwardtii Fructus","-","Pulasari","","Alyxia reinwardtii Bl.","Fruit","Bark: drug fever.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00053","Alyxia reinwardtii Radix","-","Pulasari","","Alyxia reinwardtii Bl.","Root","Bark: drug fever.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00054","Alyxia reinwardtii Rhizoma","-","Pulasari","","Alyxia reinwardtii Bl.","Rhizome","Bark: drug fever.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00055","Alyxia reinwardtii Semen","-","Pulasari","","Alyxia reinwardtii Bl.","Seed","Bark: drug fever.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00056","Alyxia stellata Cortex","-","Pulasari","","Alyxia stellata","Bark","Bark: drug fever.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00057","Amaranthus spinosus Folium","Spiny Amaranth","Bayam Duri","","Amaranthus spinosus","Leaf","Leaf: ulcer medication, shortness of breath, fever.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00058","Amomum cardamomum Fructus","Cardamom","Kapulaga","","Amomum cardamomum Willd","Fruit","Fruit: cough medicine, flatulence.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00059","Amomum cardamomum Oleum","Cardamom","Kapulaga","","Amomum cardamomum Willd","Oil","Fruit: cough medicine, flatulence.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00060","Amomum compactum Fructus","Cardamom","Kapulaga","","Amomum compactum Soland","Fruit","Fruit: cough medicine, flatulence.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00061","Amomum kravanh Fructus","Bai Dou Kou","Bai Dou Kou","","Amomum kravanh Pirre ex Gagnep","Fruit","Loss of appetite due to accumulation of turbid damp in the spleen and stomach;feeling of suffocation in the chest with anorexia at the early stage of dampwarm syndromes;nausea,vomiting,distension and pain in the chest and abdomen caused by cold-damp; indigestion with retention of food.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00062","Amorphophallus konjac Tubera","Konjac","Konjac","","Amorphophallus konjac","Tuber","Used in treatment of cancers","","-","http://www.pfaf.org/database/plants.php?Amorphophallus+rivieri"
"S00063","Anacardium occidentale Folium","Cashew","Jambu monyet","","Anacardium occidentale","Leaf","Bark: cathartic, sprue, acne.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00064","Ananas comosus Fructus","Pineapple","Nanas","","Ananas comosus Merr.","Fruit","Fruit: helminthic, fever, diuretic, improve digestion.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00065","Andrographidis paniculata Folium","Creat","Sambiloto","","Andrographis paniculata Ness","Leaf","All plant: drug fever, skin disease, diabetes, ear inflammation, cold.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00066","Andrographidis paniculata Herba","Creat","Sambiloto","","Andrographis paniculata Ness","Herb","All plant: drug fever, skin disease, diabetes, ear inflammation, cold.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00067","Andrographis paniculata Herba","Creat","Sambiloto","","Andrographis paniculata Ness","Herb","All plant: drug fever, skin disease, diabetes, ear inflammation, cold.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00068","Andropogon citratus Folium","Lemongrass","Sereh","","Andropogon citratus DC.","Leaf","Leaf: drug fever, mouthwash, preventing vomiting.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00069","Andropogon citratus Oleum","Lemongrass","Sereh","","Andropogon citratus DC.","Oil","Leaf: drug fever, mouthwash, preventing vomiting.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00070","Andropogon nardus Folium","Lemongrass","Sereh","","Andropogon nardus","Leaf","Leaves and roots: body heating, diaphoretic, mouthwash.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00071","Andropogon nardus Oleum","Lemongrass","Sereh","","Andropogon nardus","Oil","Leaves and roots: body heating, diaphoretic, mouthwash.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00072","Andropogon zizanioides Oleum","Vetiver, Khus Khus","Larasetu","","Andropogon zizaniodes","Oil","Roots: rheumatic drugs, prevent insects, cosmetics raw materials.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00073","Andropogon zizanioides Radix","Vetiver, Khus Khus","Larasetu","","Andropogon zizaniodes","Root","Roots: rheumatic drugs, prevent insects, cosmetics raw materials.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00074","Andropogum sorghum Amylum","Broom Corn","Sorghum","","Andropogum sorghum","Flour","Used in the treatment of kidney and urinary complaints","","-","http://www.pfaf.org/database/plants.php?Sorghum+bicolor"
"S00075","Anemarrhena asphodeloides Rhizoma","Anemarrhena","Common Anemarrhena","","Anemarrhena asphodeloides Bge.","Rhizome","Febrile diseases with high fever and dire thirst; heat in the lung with dry cough; consumptive fever; diabetes due to internal heat; constipation.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00076","Anethum graveolens Fructus","Dill","Adas Anis","","Anethum graveolens L.","Fruit","Leaf: body heating, resolvent, antiseptic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00077","Angelica dahurica Radix","Bai Zhi","Dahurian Angelica","","Angelica dahurica","Root","Headache, particularly pain in the forehead, and stuffed nose due to colds; sinusitis; toothache; excessive leukorrhea; swelling and pain of sores and wounds.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00078","Angelica keiskei Folium","Tomorrow Leaf","Ashitaba","","Angelica keiskei Koidzumi","Leaf","Helps heart disease, HIV, AIDS, anti-aging, gout","","-","http://www.pfaf.org/database/plants.php?Angelica+keiskei"
"S00079","Angelica pubescentis Radix","Du Huo","Doubleteeth Pubescent Angelica","","Angelica pubescentis","Root","Rheumatic arthritis with pain in the lower back and knees; headache due to attack of cold on the Shaoyin Channel characterized by association of headache with precordial pain and aold legs.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00080","Angelica sinensis Radix","Dong Quai","Ginseng Putri","","Angelica sinensis (Oliv.) Diels","Root","Anemia with dizziness and palpitation: menstrual disorders, amenorrhea, dysmenorrhea; constipation; rheumatic arthralgia; traumatic ijjuries; carbuncles, boils and sores.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00081","Anisi stelliati Fructus","Star Anise","Pekak","","Anisi stelliati","Fruit","Reduction in gas and bloating, to settle the problems related to digestion. relief from cases of colic, relieving the symptoms associated with indigestion and nausea, dealing with the symptoms of menstrual pain, with the discomfort during asthma attacks, in the treatment of the whooping cough, treatment of other spasmodic coughs, cases of bronchitis, treat respiratory ailments and disorders, increase in the production of breast milk","","-","www.herbs2000.com"
"S00082","Anisum vulgare Fructus","Anise","Jintan Manis","","Anisum vulgare Gaertn","Fruit","Reduction in gas and bloating, to settle the problems related to digestion. relief from cases of colic, relieving the symptoms associated with indigestion and nausea, dealing with the symptoms of menstrual pain, with the discomfort during asthma attacks, in the treatment of the whooping cough, treatment of other spasmodic coughs, cases of bronchitis, treat respiratory ailments and disorders, increase in the production of breast milk","","-","www.herbs2000.com"
"S00083","Annona muricata Folium","Soursop","Sirsak","","Annona muricata L.","Leaf","Leaf: ulcer medication, seizures, diaphoretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00084","Annona muricata Fructus","Soursop","Sirsak","","Annona muricata L.","Fruit","Leaf: ulcer medication, seizures, diaphoretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00085","Anthrospira","-","Spirulina","","Spirulina","Herb","Immunoprotector;Cancer","","-","Handbook of Herbal Medicine"
"S00086","Apium graveolens Folium","Celery","Seledri","","Apium graveolens L","Leaf","All plant: high blood pressure medicine, cold, nausea reliever.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00087","Apium graveolens Fructus","Celery","Seledri","","Apium graveolens L","Fruit","All plant: high blood pressure medicine, cold, nausea reliever.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00088","Apium graveolens Herba","Celery","Seledri","","Apium graveolens L","Herb","All plant: high blood pressure medicine, cold, nausea reliever.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00089","Apium graveolens Semen","Celery","Seledri","","Apium graveolens L","Seed","All plant: high blood pressure medicine, cold, nausea reliever.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00090","Aquilaria sinensis Lignum","Chen Xiang (Aloe Wood)","Kayu Gaharu","","Aquilaria sinensis","Wood","Distension and pain in the chest and abdomen; vomiting or hiccup due to cold in the stomach; asthma in deficiency syndrome of the kidney.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00091","Aquilaria sinensis Oleum","Chen Xiang (Aloe Wood)","Kayu Gaharu","","Aquilaria sinensis","Oil","Distension and pain in the chest and abdomen; vomiting or hiccup due to cold in the stomach; asthma in deficiency syndrome of the kidney.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00092","Arachis hypogaea Oleum","Peanut","Kacang Tanah","","Arachis hypogaea L.","Oil","Seed: laxative, strengthen sperm, joint pain medicine.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00093","Arcangelisae flava Lignum","-","Kayu Kuning","","Archangelisia flava L","Wood","Wood: jaundice, anthelmintic, sprue.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00094","Arctium lappa Fructus","Burdock","Gobo","","Arctium lappa L.","Fruit","Root or tuber roots: diuretic, resolvent.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00095","Arctium lappa Radix","Burdock","Gobo","","Arctium lappa L.","Root","Root or tuber roots: diuretic, resolvent.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00096","Ardisia crenata Fructus","Coralberry","Mata Ayam","","Ardisia crenata Roxb.","Fruit","Leaves, whole: the circulation of blood, anti venom, resolvent.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00097","Areca catechu Fructus","Betel Palm","Pinang","","Areca catechu L","Fruit","Seed: helminthic, new injury, cough, emmenagoga, slimming, diuretic, cathartic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00098","Areca catechu Semen","Betel Palm","Pinang","","Areca catechu L","Seed","Seed: helminthic, new injury, cough, emmenagoga, slimming, diuretic, cathartic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00099","Arenga pinnata Fructus","Sugar Palm","Aren","","Arenga pinnata Merr","Fruit","Roots: diuretic, emmenagoga. Sap tap: sprue, cathartic, pneumonia.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00100","Arenga pinnata Radix","Sugar Palm","Aren","","Arenga pinnata Merr","Root","Roots: diuretic, emmenagoga. Sap tap: sprue, cathartic, pneumonia.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00101","Argemone mexicana Semen","Prickly Poppy","Druju","","Argemone mexicana L","Seed","Seed: cough medicine, menstrual pain. Sap: skin wart remover.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00102","Arisaema consanguineum Rhizoma","Tian Nan Xing","Arisaema","","Arisaema consanguineum Schott.","Rhizome","Dried root: coughs with profuse phlegm, tumours, cervical cancer, epilepsy, tetanus and complaints involving muscular spasms. Fresh root: a poultice to ulcers and other skin complaints.","","-","http://www.pfaf.org/database/plants.php?Arisaema+consanguineum"
"S00103","Aristolochia debile Fructus","Ma Dou Ling","Puyan","","Aristolochia debile Sieb.Et.Zucc.","Fruit","Leaf: skin disease drug, stomach cramps, anti venom.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00104","Armeniacae amarum Semen","Apricot","Plum Armenia","","Armeniacae amarum","Seed","Cough and asthma accompanied by stuffiness in the chest and profuse expectoration; constipation due to deficiency of blood and fluid.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00105","Artemisia annua Herba","Sweet Annie, Annual Wormwood","Anuma","","Artemisia annua L.","Herb","All plant: anti malaria, antipyretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00106","Artemisia capillaris Herba","Yin Chen Hao","Capillaris","","Artemisia capillaris Thunberg","Herb","Bladder and parasitic infections, urinary tract infections brought on by the Klebsiella bacteria, malaria, river blindness , constipation, diarrhea, soothes the inflammation affecting intestinal tissues, alleviate abdominal cramping and stomach pain, hepatitis, jaundice.","","-","www.herbs2000.com"
"S00107","Artemisia cina Flos","Levant Wormseed","Mungsi Arab","","Artemisia cina Berg.","Flower","All plant: helminthic, rheumatism.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00108","Artemisia lactifloris Radix","White Mugwort","Purwoceng Gunung","","Artemisia lactiflora Wall.","Root","Leaves, whole: resolvent, emmenagoga, diuretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00109","Artemisia scoparia Herba","Yin Chen Hao","Capillaris","","Artemisia scoparia Waldst. et Kit.","Herb","Bladder and parasitic infections, urinary tract infections brought on by the Klebsiella bacteria, malaria, river blindness , constipation, diarrhea, soothes the inflammation affecting intestinal tissues, alleviate abdominal cramping and stomach pain, hepatitis, jaundice.","","-","www.herbs2000.com"
"S00110","Artocarpus altilis Flos","Mian Bao Shu","Kluwih","","Artocarpus altilis (Park.)Fsb.","Flower","Male flowers: toothache medicine. Leaf: skin drug.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00111","Artocarpus communis Cortex","Breadfruit","Sukun","","Artocarpus communis Forst.","Bark","Leaf: drug fever. Rind: laktagoga.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00112","Artocarpus heterophyllus Caulis","Bo Lo Mi (Jackfruit)","Nangka","","Artocarpus heterophyllus Lam","Stem","Leaf: laktagoga, sore medicine.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00113","Artocarpus heterophyllus Lignum","Bo Lo Mi (Jackfruit)","Nangka","","Artocarpus heterophyllus Lam","Wood","Leaf: laktagoga, sore medicine.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00114","Artocarpus integra Folium","Bo Lo Mi (Jackfruit)","Nangka","","Artocarpus integra Merr.","Leaf","Leaf: laktagoga, sore medicine.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00115","Asarum sieboldii Radix","Wild Ginger","Hazlewort","","Asarum sieboldii Miq.","Root","INDICATIONS: congestions in Eustachian tubes and upper sinus cavities; fevers and chills; headaches and toothaches; arthritis","","-","http://www.chinese-herbs.com/store/page43.html"
